eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
274772,2624000,2101 BAKER ST,94115,-122.44456085,37.79053179,19,8,12,Pacific Heights,2209,9236,2,013400,2101,,BAKER,ST
275531,12338000,1901 SUTTER ST,94115,,,,,,,,,,,1901,,SUTTER,ST
276842,8435000,353 LOMBARD ST,94133,-122.40736992,37.80328831,17,8,12,North Beach,3304,7305,3,010400,353,,LOMBARD,ST
281077,12437000,735 TAYLOR ST,94109,-122.41234901,37.78928035,17,9,12,Nob Hill,3351,7344,3,012100,735,,TAYLOR,ST
283160,5774000,1555 FRANCISCO ST,94123,-122.43059803,37.80220399,19,8,12,Marina,3209,9212,2,012902,1555,,FRANCISCO,ST
284054,3350000,3104 BUCHANAN ST,94123,-122.43220484,37.79880193,19,8,12,Marina,3218,9218,2,012902,3104,,BUCHANAN,ST
304088,522000,343 12TH AVE,94118,-122.47111451,37.78180799,19,8,12,Inner Richmond,2112,9112,1,040200,343,,12TH,AVE
304135,6071201,5000 GEARY BLVD,94118,-122.47316088,37.78085651,19,8,12,Outer Richmond,2111,9109,1,042602,5000,,GEARY,BLVD
304197,12368000,37 TACOMA ST,94118,-122.47468922,37.78159083,19,8,12,Outer Richmond,2111,9109,1,042602,37,,TACOMA,ST
304343,904000,355 19TH AVE,94121,-122.47869677,37.78126056,19,8,12,Outer Richmond,2109,9111,1,042601,355,,19TH,AVE
305244,1926000,456 42ND AVE,94121,-122.50268191,37.78016886,19,8,12,Outer Richmond,2101,9101,1,047902,456,,42ND,AVE
313861,1953000,810 43RD AVE,94121,-122.5033035,37.77329122,19,8,12,Outer Richmond,2136,9137,1,047901,810,,43RD,AVE
314331,1976000,1251 44TH AVE,94122,-122.5043078,37.76326452,19,8,12,Sunset/Parkside,2402,9402,4,035202,1251,,44TH,AVE
316931,7653201,1346 JUDAH ST,94122,-122.47657462,37.76189617,19,9,12,Inner Sunset,2505,9409,4,030201,1346,,JUDAH,ST
318268,2067000,1330 48TH AVE,94122,-122.5078267,37.76158356,19,8,12,Sunset/Parkside,2409,9411,4,035202,1330,,48TH,AVE
419024,8940000,24 MEADOWBROOK DR,94132,-122.48434709,37.73373295,19,8,14,Sunset/Parkside,2731,9725,7,033100,24,,MEADOWBROOK,DR
419263,12054000,50 SPRINGFIELD DR,94132,-122.48783381,37.73314255,19,8,14,Sunset/Parkside,2729,9724,7,033100,50,,SPRINGFIELD,DR
0,0,21,94105,0,0,,,,,,,,,21,,,ST
295133,2615000,1030 BAKER ST,94115,-122.44158898,37.7809453,19,8,12,Lone Mountain/USF,2218,9258,2,015700,1030,,BAKER,ST
322194,1935000,1582 42ND AVE,94122,-122.5011139,37.75724469,19,8,12,Sunset/Parkside,2417,9417,4,035100,1582,,42ND,AVE
324291,8191000,525 LAWTON ST,94122,-122.46853556,37.75808497,19,8,12,Inner Sunset,2705,9704,7,030301,525,,LAWTON,ST
333621,1897000,2210 40TH AVE,94116,-122.49818953,37.7455205,19,8,12,Sunset/Parkside,2437,9436,4,035300,2210,,40TH,AVE
336730,1922000,2455 41ST AVE,94116,-122.4995175,37.74095848,19,8,12,Sunset/Parkside,2443,9444,4,035300,2455,,41ST,AVE
347279,4374000,26 PORTOLA DR,94131,-122.44398743,37.75012393,17,9,12,Twin Peaks,3836,7836,8,020402,26,,PORTOLA,DR
351258,2893000,159 BELLA VISTA WAY,94127,-122.4487123,37.73781253,17,8,12,West of Twin Peaks,2742,7708,7,030700,159,,BELLA VISTA,WAY
351958,9069000,190 MIRALOMA DR,94127,-122.46138009,37.73622334,19,8,14,West of Twin Peaks,2735,9731,7,030800,190,,MIRALOMA,DR
383011,5198000,478 ELLSWORTH ST,94110,-122.41488845,37.73740601,17,9,12,Bernal Heights,3933,7941,9,025402,478,,ELLSWORTH,ST
385679,11922000,1475 SILVER AVE,94134,-122.40742395,37.73208092,17,9,12,Portola,2902,7947,9,025701,1475,,SILVER,AVE
389304,8605000,219 MADRID ST,94112,-122.42927812,37.72582258,17,9,12,Excelsior,1108,1144,11,026001,219,,MADRID,ST
392839,3271000,1036 BRUSSELS ST,94134,-122.40268778,37.71933876,17,7,12,Portola,2005,7042,10,025900,1036,,BRUSSELS,ST
392840,3271000,1040 BRUSSELS ST,94134,-122.40266069,37.71927356,17,7,12,Portola,2005,7042,10,025900,1040,,BRUSSELS,ST
392898,6206000,1175 GIRARD ST,94134,-122.40066387,37.71838472,17,7,12,Visitacion Valley,2005,7042,10,026402,1175,,GIRARD,ST
